SubjectID,TrialNumber,Choice,ChoiceLabel,PlayChoice,ReactionTime,Card1,Card2,Card3,Card4,Card5,Card6,ExpectedValue,StandardDev,Condition,HighRT
23,32,2,Play,1,1.5502,4,3,-7,0,0,0,0,6.08276253,3,0
23,10,1,Pass,0,2.7952,4,-8,-2,0,0,0,-2,6,3,0
23,95,1,Pass,0,2.4548,-9,8,-3,0,0,0,-1.333333333,8.621678104,3,1
23,94,2,Play,1,1.4573,3,-6,8,0,0,0,1.666666667,7.094598885,3,1
23,47,1,Pass,0,2.2578,-4,-3,-4,0,0,0,-3.666666667,0.577350269,3,0
23,32,2,Play,1,1.3002,3,6,6,0,0,0,5,1.732050808,3,0
23,97,1,Pass,0,2.4365,-8,2,-5,0,0,0,-3.666666667,5.131601439,3,1
23,91,2,Play,1,1.8169,-1,9,6,0,0,0,4.666666667,5.131601439,3,1
23,91,2,Play,1,1.1518,4,6,-1,0,0,0,3,3.605551275,3,1
23,95,1,Pass,0,1.4287,-3,-7,8,0,0,0,-0.666666667,7.767453465,3,1
23,42,2,Play,1,1.416,3,3,5,0,0,0,3.666666667,1.154700538,3,0
23,32,1,Pass,0,2.3225,3,6,-7,0,0,0,0.666666667,6.806859286,3,0
23,97,1,Pass,0,1.712,-5,-8,-7,0,0,0,-6.666666667,1.527525232,3,1
23,47,1,Pass,0,1.8028,1,-2,-4,0,0,0,-1.666666667,2.516611478,3,0
23,97,1,Pass,0,1.8603,-7,8,-5,0,0,0,-1.333333333,8.144527815,3,1
23,47,1,Pass,0,1.998,1,2,-2,0,0,0,0.333333333,2.081665999,3,0
23,32,2,Play,1,1.3372,6,4,3,0,0,0,4.333333333,1.527525232,3,0
23,32,2,Play,1,1.9105,6,6,-7,0,0,0,1.666666667,7.505553499,3,0
23,47,2,Play,1,1.5194,2,1,-3,0,0,0,0,2.645751311,3,0
23,97,1,Pass,0,1.3851,-8,-5,8,0,0,0,-1.666666667,8.504900548,3,1
23,10,1,Pass,0,0.7696,-8,-6,-7,0,0,0,-7,1,3,0
23,42,2,Play,1,2.046,-4,5,3,0,0,0,1.333333333,4.725815626,3,0
23,10,1,Pass,0,1.1371,-7,-2,-6,0,0,0,-5,2.645751311,3,0
23,94,2,Play,1,3.4868,-9,3,8,0,0,0,0.666666667,8.736894948,3,1
23,32,2,Play,1,0.8623,4,6,6,0,0,0,5.333333333,1.154700538,3,0
23,42,2,Play,1,0.7686,5,5,-1,0,0,0,3,3.464101615,3,0
23,42,1,Pass,0,1.4206,-1,-4,5,0,0,0,0,4.582575695,3,0
23,42,1,Pass,0,1.0081,-4,-1,5,0,0,0,0,4.582575695,3,0
23,95,1,Pass,0,0.6271,-9,-7,8,0,0,0,-2.666666667,9.291573243,3,1
23,91,1,Pass,0,1.9181,6,-9,9,-8,4,-1,0.166666667,7.467708261,6,1
23,91,2,Play,1,2.053,-8,6,4,0,0,0,0.666666667,7.571877794,3,1
23,94,2,Play,1,1.2037,8,-7,3,0,0,0,1.333333333,7.637626158,3,1
23,42,2,Play,1,0.6709,5,5,-4,0,0,0,2,5.196152423,3,0
23,10,1,Pass,0,1.4877,-7,-6,4,0,0,0,-3,6.08276253,3,0
23,95,1,Pass,0,1.0075,-7,-9,8,0,0,0,-2.666666667,9.291573243,3,1
23,95,2,Play,1,1.0528,7,8,-7,0,0,0,2.666666667,8.386497084,3,1
23,10,1,Pass,0,1.4429,-2,-7,5,0,0,0,-1.333333333,6.027713773,3,0
23,94,1,Pass,0,2.8138,8,-7,-9,-6,3,9,-0.333333333,7.991662322,6,1
23,42,2,Play,1,1.489,3,3,-1,0,0,0,1.666666667,2.309401077,3,0
23,47,1,Pass,0,1.3855,1,-2,-4,0,0,0,-1.666666667,2.516611478,3,0
23,47,1,Pass,0,0.6387,-4,-3,1,0,0,0,-2,2.645751311,3,0
23,32,2,Play,1,2.1205,2,-7,4,0,0,0,-0.333333333,5.859465277,3,0
23,97,2,Play,1,2.2312,9,8,-8,0,0,0,3,9.539392014,3,1
23,91,1,Pass,0,1.7844,-8,-9,6,0,0,0,-3.666666667,8.386497084,3,1
23,47,2,Play,1,1.8058,-4,1,2,0,0,0,-0.333333333,3.214550254,3,0
23,32,2,Play,1,1.9215,2,4,6,0,0,0,4,2,3,0
23,91,2,Play,1,0.6886,4,9,6,0,0,0,6.333333333,2.516611478,3,1
23,94,1,Pass,0,1.2477,-7,9,-9,0,0,0,-2.333333333,9.865765725,3,1
23,42,2,Play,1,1.5694,5,-1,3,0,0,0,2.333333333,3.055050463,3,0
23,95,2,Play,1,0.9108,7,-3,8,0,0,0,4,6.08276253,3,1
23,32,2,Play,1,0.6224,3,6,2,0,0,0,3.666666667,2.081665999,3,0
23,47,1,Pass,0,1.2223,2,-2,-3,0,0,0,-1,2.645751311,3,0
