SubNum,TrialNumber,Card1,Card2,Card3,Card4,Card5,Card6,EV,std,infoS,infoValue,infoS_normalized
9266,93,5,-6,8,-9,4,-4,-0.333333333333333,6.88960569747403,1.444444444,1.033333333,0.613095014583622
9266,47,-4,-2,-3,-4,1,2,-1.66666666666667,2.58198889747161,0.736111111,0.016666667,-1.35117129034914
9266,42,5,-1,5,3,3,-4,1.83333333333333,3.60092580688171,1.361111111,0.066666667,0.382004861877734
9266,45,-7,4,-9,-8,4,-5,-3.5,5.95818764390649,1.326388889,0.066666667,0.28571729848137
9266,20,1,-4,9,4,1,2,2.16666666666667,4.26223728418147,1.388888889,0.066666667,0.459034913704057
9266,1,7,2,3,2,1,-6,1.5,4.23083916026124,1.393518519,0.2,0.471873256599471
9266,78,-8,9,1,-8,9,-3,0,7.74596669241483,1.49537037,1.266666667,0.754316775340855
9266,15,2,-3,1,9,-9,-2,-0.333333333333333,5.98887858172685,1.493055556,0.866666667,0.74789760666623
9266,79,2,4,-7,-5,-3,1,-1.33333333333333,4.32049379893857,0.87962963,0.216666667,-0.953182691095186
9266,10,-2,-8,-7,4,-6,5,-2.33333333333333,5.68037557443754,1.363425926,0.216666667,0.388424033325441
9266,61,1,-6,4,-4,-7,1,-1.83333333333333,4.44597195972564,1.354166667,0.133333333,0.362747350307694
9266,84,1,-5,-8,9,-8,8,-0.5,7.71362431027076,1.49537037,1.05,0.754316775340855
9266,94,8,-7,-9,-6,3,9,-0.333333333333333,7.99166232186187,1.444444444,1.233333333,0.613095014583622
9266,74,-8,-8,-7,9,4,-6,-2.66666666666667,7.31209044437134,1.238425926,0.383333333,0.0417888028800665
28215,91,6,-9,9,-8,4,-1,0.166666666666667,7.46770826068257,1.4953703,1.15,2.18422341402678
28215,72,-2,5,3,7,-9,1,0.833333333333333,5.74166061925177,0.004629612,0.633333333,-0.880084612845996
28215,10,-2,-8,-7,4,-6,5,-2.33333333333333,5.68037557443754,0.004629612,0.216666667,-0.880084612845996
28215,77,-1,3,5,8,-7,7,2.5,5.64800849857718,0.00694448,0.15,-0.875326261074523
28215,62,9,2,9,1,-4,-1,2.66666666666667,5.3166405433005,0.002314832,0.133333333,-0.884842783728123
28215,71,8,-2,-8,6,7,8,3.16666666666667,6.64580067912563,0.745370441,0.183333333,0.64255315132637
28215,45,-7,4,-9,-8,4,-5,-3.5,5.95818764390649,0.009259259,0.066666667,-0.870568092247956
28215,59,1,3,-8,3,-4,-9,-2.33333333333333,5.42832079621927,0.00694448,0.15,-0.875326261074523
28215,43,-3,-9,9,6,2,2,1.16666666666667,6.431692364119,0.75,0.6,0.652069491035064
28215,60,6,-4,2,5,-5,-8,-0.666666666666667,5.7850381733111,1.488425961,0.683333333,2.16994890343596
28215,5,6,-8,6,-1,5,5,2.16666666666667,5.63619256827396,0.740740705,0.233333333,0.633036447783425
28215,19,5,-4,-1,-2,8,8,2.33333333333333,5.3166405433005,0.745370441,0.133333333,0.64255315132637
28215,76,2,3,-3,-1,-5,-3,-1.16666666666667,3.12516666222246,0.004629612,0.133333333,-0.880084612845996
28215,31,-4,-8,1,9,-9,-1,-2,6.6332495807108,0.00694448,0.366666667,-0.875326261074523
