SubNum,trialNumber,originalTrial,infoNorm,infoValue,choice,randNum,trialEV,trialVar,Card1,Card2,Card3,Card4,Card5,Card6,newCard1,newCard2,newCard3,newCard4,newCard5,newCard6
183,64,28698,0.483333333,1.140625,1,1.244548119,-0.666666667,4.676180778,-3,-4,3,7,-2,-5,999,999,3,7,-2,999
183,65,29525,0.45,0.49609375,1,0.223714574,-1.5,6.024948133,5,-4,-4,7,-5,-8,5,999,-4,999,-5,999
183,66,29610,0.9,0.541666667,1,0.804010023,-0.333333333,6.250333324,7,-2,7,-3,-2,-9,999,999,7,-3,-2,999
183,67,30087,0.733333333,0.538411458,1,1.191290538,-0.5,5.958187644,5,2,-1,6,-7,-8,5,999,999,999,-7,-8
183,68,30730,0.216666667,0.746744792,2,0.638635911,2.333333333,5.785038173,9,-5,5,2,-4,7,9,-5,999,999,999,7
183,69,31019,0.533333333,1.212239583,1,0.933929817,-1.5,6.774953874,3,2,-9,-6,8,-7,999,2,-9,999,8,999
183,70,31429,0.1,0.756510417,2,1.461881033,2.833333333,5.636192568,-6,9,-1,7,6,2,-6,999,999,7,6,999
183,71,32299,0.1,0.190104167,2,0.323975913,2.666666667,6.055300708,4,2,6,5,8,-9,4,2,999,5,999,999
183,72,32454,0.5,0,1,0.054709496,-1.166666667,5.913261931,-2,-4,7,-5,-8,5,999,999,999,-5,-8,5
183,73,33708,0.016666667,0,1,0.417629952,-2.5,3.563705936,-5,-1,-8,1,-3,1,-5,999,-8,1,999,999
183,74,35134,0.65,0.736979167,1,0.058606799,-1.5,7.867655305,7,-1,-8,9,-8,-8,999,-1,999,9,999,-8
183,75,35143,0,0,1,0.875044501,-5.5,2.42899156,-6,-1,-7,-5,-6,-8,999,999,-7,999,-6,-8
183,76,35317,0.033333333,0,1,1.47806709,-3.333333333,6.377042157,-5,-3,-5,-9,9,-7,-5,-3,999,999,9,999
183,77,36518,0.683333333,1.5,1,0.959437769,0.833333333,6.274286148,7,-7,7,-2,-5,5,999,-7,999,-2,999,5
183,78,36557,0.933333333,1.186197917,1,0.536766311,-0.333333333,6.314005596,3,9,-3,2,-4,-9,3,999,999,999,-4,-9
183,79,37669,0.216666667,1.303385417,2,0.60615428,2.333333333,6.408327915,-6,8,8,8,-1,-3,999,8,8,8,999,999
183,80,38149,0.783333333,0.753255208,1,0.09969442,0.5,6.745368782,-1,9,9,-5,-4,-5,999,999,999,-5,-4,-5
183,81,38387,0,0,2,0.38020728,5,3.521363372,7,1,8,4,9,1,999,999,999,4,9,1
183,82,38695,0.833333333,0.453776042,1,0.604324286,0.166666667,5.192943931,3,6,1,-9,-2,2,3,999,999,-9,-2,999
183,83,39177,0.416666667,0.75,1,0.572440872,0.5,4.037325848,-5,1,-4,4,3,4,-5,999,-4,999,999,4
183,84,39616,0,0,1,1.231125722,-5.333333333,1.966384161,-4,-4,-7,-8,-3,-6,-4,-4,999,999,-3,999
183,85,39751,0.2,1.35546875,2,1.089648012,2.5,6.024948133,-4,8,1,7,-5,8,-4,8,999,7,999,999
183,86,40022,0.1,0.746744792,2,0.168416564,1.333333333,3.141125064,6,3,-3,1,-1,2,999,3,-3,999,999,2
183,87,40133,0.783333333,1.5,1,1.209018323,0.833333333,6.968978883,-2,-8,9,1,9,-4,-2,-8,999,999,999,-4
183,88,40431,0.783333333,1.261067708,1,1.393283738,-1.166666667,7.547626559,-8,5,-9,7,5,-7,-8,5,999,7,999,999
183,89,40554,0.133333333,0.655598958,1,0.626205073,1.666666667,4.131182236,3,6,-2,1,6,-4,999,999,-2,1,999,-4
183,90,40680,0.216666667,0.541666667,1,0.832701855,-2.333333333,6.055300708,-9,-6,-5,8,-3,1,-9,-6,999,8,999,999
183,91,40979,0.266666667,0.961588542,1,1.126822914,1.166666667,4.16733328,5,-2,-5,1,2,6,5,-2,999,1,999,999
183,92,41026,0.633333333,0.746744792,1,0.780174878,-0.333333333,4.633213428,4,-8,3,3,-1,-3,999,-8,3,3,999,999
183,93,41106,0.416666667,0.49609375,1,0.624190735,-1.166666667,5.231315959,-4,8,-4,-3,2,-6,999,999,-4,-3,2,999
183,94,41364,0.316666667,1.111328125,1,0.376851459,2.166666667,6.462713568,7,-9,-1,4,9,3,999,-9,999,4,999,3
183,95,41478,0.733333333,1.088541667,1,0.410427097,0.666666667,6.022181222,1,-9,4,9,1,-2,1,-9,4,999,999,999
183,96,41489,0,0,2,0.287489028,4.166666667,3.920034013,5,-3,5,4,5,9,999,-3,999,999,5,9
183,97,41634,0.25,0.756510417,1,0.115025546,-2,5.329165038,5,-2,-6,4,-7,-6,999,999,-6,4,999,-6
183,98,41721,0.483333333,1.16015625,2,0.227219932,1.666666667,6.860515044,-6,7,1,-7,6,9,999,999,999,-7,6,9
183,99,41804,0.25,1.085286458,2,0.790804046,1.666666667,4.844240567,-3,8,2,7,-2,-2,-3,8,2,999,999,999
183,100,41948,0.016666667,0,1,1.365896249,-3.166666667,4.792355023,4,-9,-6,-4,1,-5,4,-9,-6,999,999,999
184,1,4,0.583333333,0.35952381,2,1.281391915,-0.5,4.7644517,6,1,-3,2,-1,-8,999,1,999,2,999,-8
184,2,6,0.766666667,0,1,1.336850662,-1,7.615773106,8,-5,-3,9,-6,-9,999,999,-3,9,-6,999
184,3,66,0.9,0.75952381,2,0.512242063,0,5.253570215,-3,3,2,-4,8,-6,999,3,2,999,999,-6
184,4,71,0.416666667,0,1,0.758854288,-1.333333333,5.465040409,-7,-3,9,-4,-2,-1,-7,999,999,-4,-2,999
184,5,73,0.8,0.319047619,2,0.072965483,-0.333333333,5.609515725,-8,-2,1,8,-4,3,999,-2,999,8,-4,999
184,6,320,0,0,1,0.876279559,-4.166666667,3.710345896,2,-4,-6,-2,-7,-8,2,-4,999,-2,999,999
184,7,336,0,0,2,0.05410686,5,3.741657387,9,1,2,7,2,9,9,1,999,999,2,999
184,8,666,0.083333333,0,1,0.989480814,-2.666666667,6.022181222,-5,-7,-2,-7,-4,9,999,-7,999,-7,999,9
184,9,764,0.6,0.747619048,2,1.473214263,0.5,5.468089246,-6,-7,5,3,4,4,-6,-7,999,999,999,4
184,10,1228,0.05,0.002380952,2,0.895631886,3.5,5.61248608,8,-3,6,5,9,-4,999,999,6,999,9,-4
184,11,1877,0,0.007142857,2,1.128646381,3.5,4.324349662,-3,6,7,6,6,-1,-3,999,999,6,999,-1
184,12,3065,0.583333333,0.971428571,2,1.149278655,0.833333333,5.192943931,4,2,1,6,1,-9,999,2,1,999,1,999
184,13,3642,0.183333333,1.66533e-16,1,0.445262505,-1.666666667,4.676180778,-7,1,-5,-5,1,5,999,1,-5,999,1,999
184,14,4375,0.033333333,0,1,0.40589005,-2.166666667,4.262237284,-5,-2,6,-3,-6,-3,999,-2,6,-3,999,999
184,15,5805,0.65,0.407142857,1,1.040681522,-1,6.693280212,-4,-7,8,7,-6,-4,999,999,999,7,-6,-4
184,16,5807,0.466666667,0.466666667,1,0.788884983,-0.666666667,4.501851471,-2,-4,3,1,5,-7,-2,-4,999,1,999,999
184,17,5903,0.316666667,0.742857143,1,0.052342188,-1.666666667,5.465040409,-1,5,-9,-1,3,-7,-1,999,999,999,3,-7
184,18,6000,0.683333333,0.364285714,2,0.510474609,-0.166666667,4.44597196,-5,-2,2,-4,7,1,-5,-2,2,999,999,999
184,19,6031,1.033333333,0.471428571,1,0.38240567,0,6.260990337,1,5,-6,-2,-7,9,1,999,999,-2,-7,999
184,20,6100,0.45,0.75,2,1.484942844,1.333333333,5.785038173,6,-7,3,2,8,-4,999,-7,999,2,999,-4
184,21,6591,0,0.002380952,2,0.480573289,4.333333333,5.085928299,8,8,4,8,3,-5,999,8,999,999,3,-5
184,22,6920,0.633333333,0.745238095,1,0.045152707,0.666666667,5.819507425,7,-7,-6,2,3,5,999,-7,-6,2,999,999
184,23,7320,0.933333333,0.747619048,2,1.247817541,-0.166666667,6.462713568,-9,1,5,2,-7,7,-9,1,999,2,999,999
184,24,7894,0.8,0.983333333,2,0.089592212,0.666666667,6.683312552,-2,8,-6,-7,3,8,-2,8,999,999,3,999
184,25,9154,1.033333333,0.757142857,1,0.639359758,-0.333333333,6.831300511,8,3,-5,6,-8,-6,8,999,-5,999,-8,999
184,26,9248,0.7,0.421428571,1,0.885559166,-0.333333333,5.046450898,8,-5,-3,1,-5,2,999,-5,999,1,999,2
184,27,9672,0,1.66533e-16,1,1.36817426,-3.166666667,4.070217029,4,-6,-7,-5,-4,-1,999,999,-7,-5,999,-1
184,28,9968,0,0,1,0.11524394,-2.666666667,3.502380143,-1,2,-1,-3,-5,-8,-1,999,-1,999,999,-8
184,29,10536,0.666666667,0.738095238,2,0.502476133,-1,6.480740698,4,-5,-9,-6,7,3,4,-5,999,999,7,999
184,30,10625,0,0,2,0.156910583,5.5,3.391164992,6,9,2,9,6,1,6,999,2,999,6,999
184,31,10756,1,0.742857143,2,0.249342122,0.333333333,6.918574034,5,9,-6,-1,4,-9,5,999,-6,999,4,999
184,32,10777,0,0,1,0.757929303,-4.5,2.738612788,-9,-3,-4,-4,-6,-1,-9,999,-4,999,-6,999
184,33,10858,0.116666667,0.94047619,2,0.052131006,1.833333333,3.920034013,3,4,4,-4,-2,6,999,999,4,-4,-2,999
184,34,12991,0.3,0.742857143,2,1.296537114,2,6.066300355,2,7,3,-8,9,-1,2,999,3,999,9,999
